orig_index,perplexity,ppl_tokens,model
229,24.661806389092416,879,EleutherAI/pythia-1.4b
230,5.125376727034322,156,EleutherAI/pythia-1.4b
231,6.84278712922868,144,EleutherAI/pythia-1.4b
232,27.672472502225222,911,EleutherAI/pythia-1.4b
233,15.95999589438899,691,EleutherAI/pythia-1.4b
234,15.971261924064633,1876,EleutherAI/pythia-1.4b
235,4.70475627676102,493,EleutherAI/pythia-1.4b
236,5.443327438426165,119,EleutherAI/pythia-1.4b
237,4.86300159762004,163,EleutherAI/pythia-1.4b
238,8.478183635943584,192,EleutherAI/pythia-1.4b
239,37.095373207291054,687,EleutherAI/pythia-1.4b
240,13.714432346442276,798,EleutherAI/pythia-1.4b
241,4.062128804957173,600,EleutherAI/pythia-1.4b
242,23.07901777760368,919,EleutherAI/pythia-1.4b
243,21.87399087584016,75,EleutherAI/pythia-1.4b
244,18.112959283022697,393,EleutherAI/pythia-1.4b
245,6.113648607515284,208,EleutherAI/pythia-1.4b
246,17.680115262374937,246,EleutherAI/pythia-1.4b
247,20.68795701930872,791,EleutherAI/pythia-1.4b
248,4.241242573291834,130,EleutherAI/pythia-1.4b
249,3.9727902414498746,462,EleutherAI/pythia-1.4b
250,4.0902810406657615,499,EleutherAI/pythia-1.4b
251,14.831782388514576,299,EleutherAI/pythia-1.4b
252,209.97043675898414,19,EleutherAI/pythia-1.4b
253,46.39175386828003,682,EleutherAI/pythia-1.4b
254,5.029920249563089,354,EleutherAI/pythia-1.4b
255,12.071209882370484,255,EleutherAI/pythia-1.4b
256,3.9974740530228536,561,EleutherAI/pythia-1.4b
257,8.111274788638745,1030,EleutherAI/pythia-1.4b
258,6.451761407313957,163,EleutherAI/pythia-1.4b
259,17.76608321965048,168,EleutherAI/pythia-1.4b
260,13.221787352459812,263,EleutherAI/pythia-1.4b
261,7.663567188563647,259,EleutherAI/pythia-1.4b
262,11.550430926152233,1072,EleutherAI/pythia-1.4b
263,12.772959272402131,297,EleutherAI/pythia-1.4b
264,19.24990145290331,340,EleutherAI/pythia-1.4b
265,16.393443622575358,1555,EleutherAI/pythia-1.4b
266,4.82524427547033,287,EleutherAI/pythia-1.4b
267,17.181786483512628,536,EleutherAI/pythia-1.4b
268,9.940978237573939,411,EleutherAI/pythia-1.4b
269,4.84134774164498,1022,EleutherAI/pythia-1.4b
270,13.27693524245174,350,EleutherAI/pythia-1.4b
271,22.137629068207062,450,EleutherAI/pythia-1.4b
272,8.229756079397562,202,EleutherAI/pythia-1.4b
273,4.420230082383753,222,EleutherAI/pythia-1.4b
274,9.262779111724779,466,EleutherAI/pythia-1.4b
275,17.524581379587335,1532,EleutherAI/pythia-1.4b
276,10.227643719895969,1029,EleutherAI/pythia-1.4b
277,20.146045586618342,1673,EleutherAI/pythia-1.4b
278,27.294734069097053,302,EleutherAI/pythia-1.4b
279,14.977387118940706,250,EleutherAI/pythia-1.4b
280,4.021288593705531,435,EleutherAI/pythia-1.4b
281,4.4008462883673305,536,EleutherAI/pythia-1.4b
282,42.161873946842796,32,EleutherAI/pythia-1.4b
283,26.287530613200786,483,EleutherAI/pythia-1.4b
284,23.45815332879978,390,EleutherAI/pythia-1.4b
285,9.833256664740187,93,EleutherAI/pythia-1.4b
286,17.062481475401334,1980,EleutherAI/pythia-1.4b
287,48.546083550070485,377,EleutherAI/pythia-1.4b
288,38.151072833283706,231,EleutherAI/pythia-1.4b
289,11.197132947637703,1008,EleutherAI/pythia-1.4b
290,15.344575206878085,793,EleutherAI/pythia-1.4b
291,21.29791641860055,437,EleutherAI/pythia-1.4b
292,28.05435496198744,466,EleutherAI/pythia-1.4b
293,13.778400545224414,631,EleutherAI/pythia-1.4b
294,9.813737574550348,251,EleutherAI/pythia-1.4b
295,3.5014721140390526,119,EleutherAI/pythia-1.4b
296,22.745351612383647,98,EleutherAI/pythia-1.4b
297,36.91479056165554,287,EleutherAI/pythia-1.4b
298,26.16832558355317,1069,EleutherAI/pythia-1.4b
299,11.533646008003183,1841,EleutherAI/pythia-1.4b
300,16.472396630475604,232,EleutherAI/pythia-1.4b
301,10.410609316415755,230,EleutherAI/pythia-1.4b
302,7.585457730935139,720,EleutherAI/pythia-1.4b
303,16.441435239660898,703,EleutherAI/pythia-1.4b
304,33.08270250626622,269,EleutherAI/pythia-1.4b
305,56.793644076435776,59,EleutherAI/pythia-1.4b
306,11.577546695023809,455,EleutherAI/pythia-1.4b
307,26.029111724006544,785,EleutherAI/pythia-1.4b
308,16.983442733216137,457,EleutherAI/pythia-1.4b
309,26.530481702293397,227,EleutherAI/pythia-1.4b
310,3.0317255087245463,326,EleutherAI/pythia-1.4b
311,26.912288093115396,597,EleutherAI/pythia-1.4b
312,10.597376091748982,989,EleutherAI/pythia-1.4b
313,9.915477763252564,581,EleutherAI/pythia-1.4b
314,6.420480107383944,221,EleutherAI/pythia-1.4b
315,15.313101115380476,360,EleutherAI/pythia-1.4b
316,11.117322595924469,1260,EleutherAI/pythia-1.4b
317,18.329921243343026,266,EleutherAI/pythia-1.4b
318,4.260924926647665,60,EleutherAI/pythia-1.4b
319,45.807108531395045,239,EleutherAI/pythia-1.4b
320,8.366430126903463,102,EleutherAI/pythia-1.4b
321,3.19116700299551,480,EleutherAI/pythia-1.4b
322,31.265384484122222,128,EleutherAI/pythia-1.4b
323,18.60674928584897,1041,EleutherAI/pythia-1.4b
324,18.981507824775857,394,EleutherAI/pythia-1.4b
325,15.504068034509395,7613,EleutherAI/pythia-1.4b
326,7.728416524893953,198,EleutherAI/pythia-1.4b
327,17.55829830722948,253,EleutherAI/pythia-1.4b
328,4.452475784712056,391,EleutherAI/pythia-1.4b
329,22.146851693316247,485,EleutherAI/pythia-1.4b
330,13.491483696184185,1135,EleutherAI/pythia-1.4b
331,25.140117911375643,55,EleutherAI/pythia-1.4b
332,23.06702001752675,503,EleutherAI/pythia-1.4b
333,21.929869617208517,281,EleutherAI/pythia-1.4b
334,9.433907492217966,162,EleutherAI/pythia-1.4b
335,13.126503573653347,555,EleutherAI/pythia-1.4b
336,5.787138778308243,720,EleutherAI/pythia-1.4b
337,4.098762350502145,377,EleutherAI/pythia-1.4b
338,6.313731259982252,483,EleutherAI/pythia-1.4b
339,47.729063233377126,279,EleutherAI/pythia-1.4b
340,21.20742444001162,172,EleutherAI/pythia-1.4b
341,54.794201971587825,91,EleutherAI/pythia-1.4b
342,12.878004427688555,368,EleutherAI/pythia-1.4b
343,26.640765219961185,255,EleutherAI/pythia-1.4b
344,6.591264209891453,536,EleutherAI/pythia-1.4b
345,9.096880190704159,312,EleutherAI/pythia-1.4b
346,9.25890856275876,1147,EleutherAI/pythia-1.4b
347,23.75110942315053,246,EleutherAI/pythia-1.4b
348,13.853519609883767,753,EleutherAI/pythia-1.4b
349,8.732988024102012,272,EleutherAI/pythia-1.4b
350,21.90894473916527,771,EleutherAI/pythia-1.4b
351,12.231073024389998,245,EleutherAI/pythia-1.4b
352,7.100263411861221,230,EleutherAI/pythia-1.4b
353,24.15703296315634,396,EleutherAI/pythia-1.4b
354,7.112317304624288,1044,EleutherAI/pythia-1.4b
355,41.04313921995558,127,EleutherAI/pythia-1.4b
356,16.95458424102556,3305,EleutherAI/pythia-1.4b
357,9.057706151655346,1039,EleutherAI/pythia-1.4b
358,5.328269755471125,450,EleutherAI/pythia-1.4b
359,23.329908545810007,1508,EleutherAI/pythia-1.4b
360,18.63719315167444,704,EleutherAI/pythia-1.4b
361,21.341711874077742,699,EleutherAI/pythia-1.4b
362,21.187916316164504,180,EleutherAI/pythia-1.4b
363,11.261776434319167,1006,EleutherAI/pythia-1.4b
364,8.190866682910983,1026,EleutherAI/pythia-1.4b
365,13.404971410836705,840,EleutherAI/pythia-1.4b
366,4.762430909092267,266,EleutherAI/pythia-1.4b
367,5.786634497487203,211,EleutherAI/pythia-1.4b
368,6.40428444404456,131,EleutherAI/pythia-1.4b
369,5.474765353213121,419,EleutherAI/pythia-1.4b
370,14.749558217051346,382,EleutherAI/pythia-1.4b
371,4.809556139540774,445,EleutherAI/pythia-1.4b
372,3.84271904467482,457,EleutherAI/pythia-1.4b
373,10.640024976696285,1066,EleutherAI/pythia-1.4b
374,6.21108099029691,56,EleutherAI/pythia-1.4b
375,12.30983975020008,1679,EleutherAI/pythia-1.4b
376,31.71637548003708,177,EleutherAI/pythia-1.4b
377,17.886701822778203,252,EleutherAI/pythia-1.4b
378,24.11404214670676,343,EleutherAI/pythia-1.4b
379,7.659736640341596,351,EleutherAI/pythia-1.4b
380,4.629077909824161,168,EleutherAI/pythia-1.4b
381,25.75709583322269,27,EleutherAI/pythia-1.4b
382,29.2349322322152,388,EleutherAI/pythia-1.4b
383,30.19208786512882,143,EleutherAI/pythia-1.4b
384,52.492558928956356,233,EleutherAI/pythia-1.4b
385,25.951939023794296,496,EleutherAI/pythia-1.4b
386,18.468520298149542,2776,EleutherAI/pythia-1.4b
387,20.994319870781215,223,EleutherAI/pythia-1.4b
388,12.111162063694907,724,EleutherAI/pythia-1.4b
389,16.22932733429876,544,EleutherAI/pythia-1.4b
390,30.62187989560521,73,EleutherAI/pythia-1.4b
391,9.60829136464417,361,EleutherAI/pythia-1.4b
392,31.82626405186324,85,EleutherAI/pythia-1.4b
393,18.22159087036828,660,EleutherAI/pythia-1.4b
394,9.616548645744679,198,EleutherAI/pythia-1.4b
395,41.93156662131717,193,EleutherAI/pythia-1.4b
396,31.0554799272906,60,EleutherAI/pythia-1.4b
397,30.111710242601283,543,EleutherAI/pythia-1.4b
398,65.39860867745944,980,EleutherAI/pythia-1.4b
399,26.41776985547539,1125,EleutherAI/pythia-1.4b
400,12.248249326788795,911,EleutherAI/pythia-1.4b
401,45.738857831450716,231,EleutherAI/pythia-1.4b
402,1.4697955981951478,548,EleutherAI/pythia-1.4b
403,11.735294753144816,1301,EleutherAI/pythia-1.4b
404,2.4412260693600456,520,EleutherAI/pythia-1.4b
405,22.435875628356733,234,EleutherAI/pythia-1.4b
406,26.408292332775524,176,EleutherAI/pythia-1.4b
407,22.628906204775422,328,EleutherAI/pythia-1.4b
408,8.213288749725306,1032,EleutherAI/pythia-1.4b
409,26.312537033094294,159,EleutherAI/pythia-1.4b
410,7.148023296374268,300,EleutherAI/pythia-1.4b
411,18.444215797785226,246,EleutherAI/pythia-1.4b
412,3.8587419120465594,573,EleutherAI/pythia-1.4b
413,39.439297820262965,283,EleutherAI/pythia-1.4b
414,7.38385302373651,537,EleutherAI/pythia-1.4b
415,4.4740002072597225,282,EleutherAI/pythia-1.4b
416,5.730340679444838,357,EleutherAI/pythia-1.4b
417,18.15011932527743,3926,EleutherAI/pythia-1.4b
418,23.30538065310441,402,EleutherAI/pythia-1.4b
419,19.144270475958827,889,EleutherAI/pythia-1.4b
420,28.609942062967946,232,EleutherAI/pythia-1.4b
421,68.76115520182694,14,EleutherAI/pythia-1.4b
422,23.68231676310712,101,EleutherAI/pythia-1.4b
423,20.837750938933432,73,EleutherAI/pythia-1.4b
424,17.88420725135772,331,EleutherAI/pythia-1.4b
425,16.34886471775821,241,EleutherAI/pythia-1.4b
426,6.885832288166663,192,EleutherAI/pythia-1.4b
427,4.408805168482114,1078,EleutherAI/pythia-1.4b
428,15.346056943301,1024,EleutherAI/pythia-1.4b
429,5.447856663483442,207,EleutherAI/pythia-1.4b
430,7.269331931361996,413,EleutherAI/pythia-1.4b
431,21.894668345044593,432,EleutherAI/pythia-1.4b
432,6.565828725205626,783,EleutherAI/pythia-1.4b
433,15.923656198260982,127,EleutherAI/pythia-1.4b
434,6.050159231253531,148,EleutherAI/pythia-1.4b
435,14.4885361320185,1097,EleutherAI/pythia-1.4b
436,17.429373576140808,820,EleutherAI/pythia-1.4b
437,21.709593488816857,797,EleutherAI/pythia-1.4b
438,9.576065931722864,203,EleutherAI/pythia-1.4b
439,6.61961320884242,131,EleutherAI/pythia-1.4b
440,49.992624591307795,216,EleutherAI/pythia-1.4b
441,15.48423466148708,590,EleutherAI/pythia-1.4b
442,6.514549761730966,462,EleutherAI/pythia-1.4b
443,23.179463156138073,656,EleutherAI/pythia-1.4b
444,13.928872210543922,118,EleutherAI/pythia-1.4b
445,16.609117344821545,640,EleutherAI/pythia-1.4b
446,17.829482628342653,1057,EleutherAI/pythia-1.4b
447,51.089449816339965,289,EleutherAI/pythia-1.4b
448,18.696705823412152,320,EleutherAI/pythia-1.4b
449,7.467662039837455,378,EleutherAI/pythia-1.4b
450,3.4562866752491517,816,EleutherAI/pythia-1.4b
451,17.24075763791834,258,EleutherAI/pythia-1.4b
452,15.822445738351835,462,EleutherAI/pythia-1.4b
453,9.088570727618169,1033,EleutherAI/pythia-1.4b
454,6.66483436800702,299,EleutherAI/pythia-1.4b
455,9.14320106009958,427,EleutherAI/pythia-1.4b
456,4.156396214041059,332,EleutherAI/pythia-1.4b
457,8.960446624008545,411,EleutherAI/pythia-1.4b
458,102.61090893777549,39,EleutherAI/pythia-1.4b
459,5.23080827046112,392,EleutherAI/pythia-1.4b
460,3.0566923873109615,385,EleutherAI/pythia-1.4b
461,6.855261930394825,128,EleutherAI/pythia-1.4b
462,17.738648200245727,639,EleutherAI/pythia-1.4b
463,14.550008273912475,317,EleutherAI/pythia-1.4b
464,4.4881234916190795,197,EleutherAI/pythia-1.4b
465,4.094007021656961,185,EleutherAI/pythia-1.4b
466,10.391103550327752,620,EleutherAI/pythia-1.4b
467,8.000104950574915,287,EleutherAI/pythia-1.4b
468,20.07395145403989,457,EleutherAI/pythia-1.4b
469,4.094589299157249,488,EleutherAI/pythia-1.4b
470,13.61358253723537,792,EleutherAI/pythia-1.4b
471,4.491264658002133,490,EleutherAI/pythia-1.4b
472,11.450108987393964,179,EleutherAI/pythia-1.4b
473,20.013933942608578,735,EleutherAI/pythia-1.4b
474,13.380547528163664,478,EleutherAI/pythia-1.4b
475,1.8519642257655753,1027,EleutherAI/pythia-1.4b
476,22.669595210193716,489,EleutherAI/pythia-1.4b
477,5.957209490974472,1012,EleutherAI/pythia-1.4b
478,9.524031857068456,1301,EleutherAI/pythia-1.4b
479,73.40057842955551,71,EleutherAI/pythia-1.4b
480,17.92133337296685,286,EleutherAI/pythia-1.4b
481,12.910249688935775,61,EleutherAI/pythia-1.4b
482,14.715181681808877,607,EleutherAI/pythia-1.4b
483,13.25754193540837,1039,EleutherAI/pythia-1.4b
484,5.285659185917276,371,EleutherAI/pythia-1.4b
485,4.309842582148842,487,EleutherAI/pythia-1.4b
486,2.8545877198930816,480,EleutherAI/pythia-1.4b
487,3.8351835689532514,328,EleutherAI/pythia-1.4b
488,15.303327051334918,538,EleutherAI/pythia-1.4b
489,22.63191150379841,244,EleutherAI/pythia-1.4b
490,6.353332466459607,171,EleutherAI/pythia-1.4b
491,20.260577558984174,588,EleutherAI/pythia-1.4b
492,48.81436179100932,66,EleutherAI/pythia-1.4b
493,4.7019792034087,220,EleutherAI/pythia-1.4b
